"","Condition","Price","Model_Year","Mileage","Exterior_Color","Make","Type","Feedback_Perc","N_Reviews","Seller_Status","Auction","Buy_Now","num_pos_words","uses_excl","all_caps","has_warranty","review_polarity","review_positivity"
"2321","Used",4855.88,2013,2009,"grey","Suzuki","Cruiser",100,1405,"other",FALSE,TRUE,4,FALSE,0,FALSE,0.35,0.683333333
"898","Used",11099.1,2007,10086,"white","Harley-Davidson","Touring",100,544,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0.335,0.765
"3837","Used",10470.21,2015,13732,"blue","BMW","Touring",100,1162,"other",FALSE,TRUE,1,FALSE,0,FALSE,0.7,0.6
"3154","New",20458.68,2017,2,"grey","Ural","Dual-Purpose",100,598,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"1684","Used",6129.35,2012,3344,"black","Harley-Davidson","Sport Bike",100,24,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"2320","Used",589.72,2015,756,"black","Harley-Davidson","Gasoline",100,4,"other",TRUE,FALSE,0,FALSE,0,TRUE,0,0
"2562","Used",4098.17,2007,11570,"red","Ducati","Sport Bike",100,813,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,0.022222222,0.294444444
"926","Used",9632.07,2003,4986,"black","Harley-Davidson","Sport Bike",100,348,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,0.136363636,0.454545455
"2710","Used",167.45,2009,9458,"other","Yamaha","Standard",100,1978,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"386","Used",18057.87,2014,5500,"black","Harley-Davidson","Touring",100,328,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1421","Used",638.41,1980,19800,"black","Yamaha","Standard",100,286,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,1,1
"4585","Used",40660.85,2016,13086,"red","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"2281","Used",19709.21,2015,2437,"other","Indian","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3995","Used",12261.87,2015,2673,"green","Yamaha","Cruiser",86,41,"other",FALSE,TRUE,0,FALSE,0,FALSE,0.8,0.75
"4509","Used",12442.1,2011,6503,"black","Harley-Davidson","Gasoline",50,397,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2110","Used",16943.95,2013,10455,"other","BMW","Touring",100,12,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"5275","Used",5355.18,2006,29201,"black","Harley-Davidson","Standard",4.7,12409,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1713","Used",12278.25,2014,4515,"red","Kawasaki","Touring",100,1342,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3704","Used",4857.61,2014,5061,"black","Kawasaki","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1723","Used",1827.16,1988,28000,"white","Honda","Standard",100,199,"Private Seller",FALSE,TRUE,2,FALSE,0,FALSE,1,1
"3225","Used",3814.47,2009,15571,"other","Honda","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"4377","Used",9786.52,2014,26860,"black","Kawasaki","Gasoline",100,1452,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1996","Used",5384.01,2007,14750,"white","Yamaha","Sport Bike",100,527,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"1940","Used",1768.93,2012,9022,"grey","Other","Sport Bike",100,71,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3292","Used",15257.07,2016,16199,"black","Harley-Davidson","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3786","Used",4882.46,2006,75645,"blue","Harley-Davidson","Touring",9.8,3788,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3088","Used",15603.98,2006,4456,"black","Other","Cruiser",96,210,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1496","Used",694.75,2006,8646,"black","Yamaha","Cruiser",100,52,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"974","Used",11370.08,2013,17219,"black","Harley-Davidson","Cruiser",100,297819,"other",FALSE,TRUE,1,FALSE,0,TRUE,0.825,0.875
"4523","Used",40809.36,2016,10723,"other","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"5129","Used",6444.74,2009,999999,"red","Yamaha","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4473","Used",6504.51,2015,3494,"black","Harley-Davidson","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"963","New",24549.68,2016,5,"other","Honda","Touring",100,35,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"3866","Used",13120.67,2012,919,"red","Can-Am","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3695","New",35259.1,2017,1,"other","Indian","Touring",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4809","Used",3514.3,2008,5828,"blue","Yamaha","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"2784","Used",9715.11,1975,8013,"blue","Harley-Davidson","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3628","New",19239.1,2017,1,"other","Indian","Cruiser",80,375,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"513","Used",8373.93,2013,6681,"black","Harley-Davidson","Cruiser",100,93,"other",TRUE,TRUE,0,FALSE,0,FALSE,0,0
"4721","Used",11236.7,2012,7678,"black","Suzuki","Gasoline",100,4,"other",FALSE,FALSE,0,FALSE,0,TRUE,0,0
"1439","Used",8250.53,2010,14000,"red","Harley-Davidson","Cruiser",100,221,"Private Seller",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"3000","Used",16969.99,2012,11055,"yellow","Harley-Davidson","Gasoline",100,14,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"561","Used",3548.88,2012,1226,"blue","Harley-Davidson","Cruiser",100,219,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"4276","Used",4285.16,2009,17579,"blue","Kawasaki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"3982","Used",7892.56,2014,0,"green","Kawasaki","Standard",86,41,"other",FALSE,TRUE,1,FALSE,0,FALSE,1,1
"1109","Used",3226.38,2002,40850,"red","Kawasaki","Touring",100,924,"Private Seller",TRUE,FALSE,1,FALSE,0,FALSE,0.9,0.875
"2621","Used",11278.96,2005,33005,"black","Harley-Davidson","Gasoline",100,501,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"1364","Used",2326.1,2005,16978,"blue","Suzuki","Dual-Purpose",100,288,"Private Seller",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"919","Used",13.67,2010,8000,"blue","Harley-Davidson","Touring",100,12,"Private Seller",TRUE,TRUE,0,FALSE,0,FALSE,0.145238095,0.411904762
"2852","Used",33967.99,2016,5439,"red","Harley-Davidson","Gasoline",100,532,"other",FALSE,TRUE,0,FALSE,0,FALSE,0,0
"655","Used",9281.04,2016,7303,"red","Other","Other",100,106,"Private Seller",TRUE,TRUE,0,FALSE,0,TRUE,0,0
"1299","Used",23389.38,2012,15707,"red","Harley-Davidson","Other",100,238,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
"3645","Used",13586.83,2010,12292,"black","Harley-Davidson","Gasoline",100,532,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4878","New",58185.7,2016,0,"red","Other","Gasoline",100,573,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"507","Used",10886.3,2014,42600,"black","Harley-Davidson","Touring",100,509,"other",TRUE,FALSE,0,FALSE,0,FALSE,0,0
"3872","Used",10588.74,2015,2031,"red","Ducati","Standard",100,1978,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"4151","Used",13674.55,2015,1136,"black","Kawasaki","Gasoline",100,152,"other",FALSE,FALSE,0,FALSE,0,FALSE,0,0
"1560","New",16298.68,2015,0,"red","Yamaha","Dual-Purpose",100,334,"other",FALSE,TRUE,0,FALSE,0,TRUE,0,0
